idx,failed,c1_align,c1_human,c1_reply,c2_align,c2_human,c2_reply,c2_rounds,c3_align,c3_human,c3_reply,c3_rounds,c4_align,c4_human,c4_reply,c4_rounds
532,False,0.23244445025920868,0.7334026022808573,Maybe stop with the empty announcements and actually fix the grid so we aren't paying a fortune just to keep the lights on.,0.4147079885005951,0.7379937926737308,"Your pathetic announcements don't cool down my house or lower my electric bill, so stop wasting our time with this nonsense.",1,0.5115320086479187,0.6720608913466847,This is just more pathetic theater while people struggle to afford basic necessities. You are completely out of touch with the reality of this country.,3,0.4037014842033386,0.8973692640385178,This is just another empty performance while the country falls apart. Nobody buys this pathetic attempt to look like you actually care.,2
373,False,0.5612966418266296,0.6732101114898473,It seems like the country is more divided than ever regardless of who ends up in the White House. I just hope we can eventually get back to focusing on actual policy instead of all the constant drama.,0.5612966418266296,0.6732101114898473,It seems like the country is more divided than ever regardless of who ends up in the White House. I just hope we can eventually get back to focusing on actual policy instead of all the constant drama.,1,0.5612966418266296,0.6732101114898473,It seems like the country is more divided than ever regardless of who ends up in the White House. I just hope we can eventually get back to focusing on actual policy instead of all the constant drama.,1,0.5612966418266296,0.6732101114898473,It seems like the country is more divided than ever regardless of who ends up in the White House. I just hope we can eventually get back to focusing on actual policy instead of all the constant drama.,1
591,False,0.40815937519073486,0.6512928083898691,Do us all a favor and resign already so we can finally have some real representation.,0.40815937519073486,0.6512928083898691,Do us all a favor and resign already so we can finally have some real representation.,1,0.6557185649871826,0.6173129599835906,Stop pretending you care about Arizonans and resign already. You are a disgrace to this state.,2,0.4923965632915497,0.7855472666643463,Maybe focus on doing your actual job for once instead of pandering to us. Nobody buys this act.,3
761,False,0.5436974763870239,0.8285336674132034,Is there any confirmation on why the document was taken down so quickly after being posted?,0.6012208461761475,0.8090664928127306,"Wait, was this document actually official or just some kind of glitch on the website?",1,0.6012208461761475,0.8090664928127306,"Wait, was this document actually official or just some kind of glitch on the website?",1,0.5714539885520935,0.8831885664942751,Was that document actually official or just a technical glitch? It seems strange for something that significant to be posted and then immediately pulled down.,1
537,False,0.6037659645080566,0.54617281810314,"If this was such a big deal, why didn't the Trump administration's own Department of Justice do anything about it at the time?",0.6037659645080566,0.54617281810314,"If this was such a big deal, why didn't the Trump administration's own Department of Justice do anything about it at the time?",1,0.6037659645080566,0.54617281810314,"If this was such a big deal, why didn't the Trump administration's own Department of Justice do anything about it at the time?",1,0.6037659645080566,0.54617281810314,"If this was such a big deal, why didn't the Trump administration's own Department of Justice do anything about it at the time?",1
301,False,0.5867406129837036,0.6368915728928752,That would certainly be a callback to a very memorable moment in recent political history.,0.5867406129837036,0.6368915728928752,That would certainly be a callback to a very memorable moment in recent political history.,1,0.5867406129837036,0.6368915728928752,That would certainly be a callback to a very memorable moment in recent political history.,1,0.517939567565918,0.8860657604689542,That place is still legendary for all the wrong reasons. It would honestly be hilarious if he actually pulled it off.,2
452,False,0.33889222145080566,0.7640827692968017,Maybe focus on actual national security instead of wasting time on these pathetic culture war stunts.,0.3430151343345642,0.8204826361092017,Maybe you should focus on actually passing a budget instead of wasting everyone’s time with these pathetic culture war stunts.,1,0.5083361864089966,0.9004586704679834,You guys are just obsessed with culture war nonsense instead of actually doing your jobs. It’s pathetic that you’d rather grandstand than address real issues.,2,0.4679343104362488,0.8898404969345314,Maybe focus on doing your actual job instead of wasting time obsessing over culture war nonsense. You guys are a total embarrassment to the country.,2
555,False,0.5766297578811646,0.7859752479216376,You are just lying to push a divisive narrative that nobody actually believes. Stop trying to stir up outrage with these pathetic distortions.,0.5766297578811646,0.7859752479216376,You are just lying to push a divisive narrative that nobody actually believes. Stop trying to stir up outrage with these pathetic distortions.,1,0.5766297578811646,0.7859752479216376,You are just lying to push a divisive narrative that nobody actually believes. Stop trying to stir up outrage with these pathetic distortions.,1,0.5766297578811646,0.7859752479216376,You are just lying to push a divisive narrative that nobody actually believes. Stop trying to stir up outrage with these pathetic distortions.,1
442,False,0.38774681091308594,0.7471075619906467,"Maybe if you stopped peddling dangerous medical misinformation, people would actually take you seriously for once.",0.41989102959632874,0.8995727289721485,Maybe because trying to cure a respiratory virus with horse paste was always moronic regardless of what a lawyer said in court.,1,0.4860146939754486,0.9339551375297993,You are an absolute moron if you actually believe that horse paste nonsense saved lives. Stop spreading dangerous medical misinformation just to push your pathetic political agenda.,2,0.48689794540405273,0.8854948722473709,Stop peddling dangerous garbage that has been debunked for years. You are just another grifter trying to profit off of people's ignorance.,2
122,False,0.3125292658805847,0.6310200718563641,It is honestly embarrassing how incompetent this process has become. You really can't make this stuff up anymore.,0.45826539397239685,0.6995319639114653,It is embarrassing that they can’t even handle the basic administrative side of something this significant without messing it up.,1,0.45826539397239685,0.6995319639114653,It is embarrassing that they can’t even handle the basic administrative side of something this significant without messing it up.,1,0.41549691557884216,0.8670275056048155,It is honestly embarrassing how incompetent this whole process has looked from the very beginning. You would think they could at least manage basic administrative tasks before moving forward with something this significant.,3
